DOY,Hour,Month,Location,Time,Ca,Qin,VPD,Temp
17,7,October,Albuquerque,7,410,57.582,0.64617062,282.5944444
17,8,October,Albuquerque,8,410,57.582,0.64617062,282.5944444
17,9,October,Albuquerque,9,410,57.582,0.64617062,282.5944444
17,10,October,Albuquerque,10,410,57.582,0.64617062,282.5944444
17,11,October,Albuquerque,11,410,57.582,0.64617062,282.5944444
17,12,October,Albuquerque,12,410,1324.386,2.504665478,297.0388889
17,13,October,Albuquerque,13,410,1324.386,2.504665478,297.0388889
17,14,October,Albuquerque,14,410,1017.282,2.965069266,299.2611111
17,15,October,Albuquerque,15,410,2437.638,3.196510992,300.3722222
17,16,October,Albuquerque,16,410,1919.4,3.137445226,299.2611111
17,17,October,Albuquerque,17,410,1381.968,4.252987377,303.7055556
17,18,October,Albuquerque,18,410,1381.968,4.252987377,303.7055556
17,19,October,Albuquerque,19,410,95.97,2.909227845,299.2611111
17,20,October,Albuquerque,20,410,0,2.324278919,297.0388889
17,21,October,Albuquerque,21,410,0,2.324278919,297.0388889
17,22,October,Albuquerque,22,410,0,2.324278919,297.0388889
17,23,October,Albuquerque,23,410,0,2.324278919,297.0388889
17,24,October,Albuquerque,24,410,0,0.927846597,289.8166667
18,25,October,Albuquerque,1,410,0,0.927846597,289.8166667
18,26,October,Albuquerque,2,410,0,0.907727028,289.8166667
18,27,October,Albuquerque,3,410,0,0.725472663,287.5944444
18,28,October,Albuquerque,4,410,0,0.725472663,287.5944444
18,29,October,Albuquerque,5,410,0,0.734050378,287.0388889
18,30,October,Albuquerque,6,410,0,0.641712466,285.9277778
18,31,October,Albuquerque,7,410,0,0.597726305,285.9277778
18,32,October,Albuquerque,8,410,57.582,0.559748357,284.8166667
18,33,October,Albuquerque,9,410,76.776,0.635054301,285.3722222
18,34,October,Albuquerque,10,410,76.776,0.635054301,285.3722222
18,35,October,Albuquerque,11,410,882.924,1.276688055,292.5944444
18,36,October,Albuquerque,12,410,1209.222,1.752357844,295.3722222
18,37,October,Albuquerque,13,410,1209.222,1.752357844,295.3722222
18,38,October,Albuquerque,14,410,441.462,1.969094259,294.8166667
18,39,October,Albuquerque,15,410,441.462,1.969094259,294.8166667
18,40,October,Albuquerque,16,410,1823.43,1.758226155,294.8166667
18,41,October,Albuquerque,17,410,1132.446,2.194888273,297.0388889
18,42,October,Albuquerque,18,410,959.7,2.325316278,296.4833333
18,43,October,Albuquerque,19,410,95.97,2.118013633,294.8166667
18,44,October,Albuquerque,20,410,0,1.763716338,293.15
18,45,October,Albuquerque,21,410,0,1.295416547,290.3722222
18,46,October,Albuquerque,22,410,0,1.295416547,290.3722222
18,47,October,Albuquerque,23,410,0,1.064171642,287.5944444
18,48,October,Albuquerque,24,410,0,1.064171642,287.5944444
19,49,October,Albuquerque,1,410,0,1.283465018,287.5944444
19,50,October,Albuquerque,2,410,0,1.283465018,287.5944444
19,51,October,Albuquerque,3,410,0,1.283465018,287.5944444
19,52,October,Albuquerque,4,410,0,1.283465018,287.5944444
19,53,October,Albuquerque,5,410,0,1.283465018,287.5944444
19,54,October,Albuquerque,6,410,0,1.283465018,287.5944444
19,55,October,Albuquerque,7,410,57.582,1.044080284,286.4833333
19,56,October,Albuquerque,8,410,57.582,1.044080284,286.4833333
19,57,October,Albuquerque,9,410,57.582,0.905963166,284.8166667
19,58,October,Albuquerque,10,410,57.582,0.905963166,284.8166667
19,59,October,Albuquerque,11,410,307.104,1.216843594,287.0388889
19,60,October,Albuquerque,12,410,307.104,1.216843594,287.0388889
19,61,October,Albuquerque,13,410,1689.072,1.896975555,293.7055556
19,62,October,Albuquerque,14,410,1823.43,2.156362268,294.8166667
19,63,October,Albuquerque,15,410,1727.46,2.036235704,293.7055556
19,64,October,Albuquerque,16,410,1573.908,2.07206731,293.7055556
19,65,October,Albuquerque,17,410,1573.908,2.07206731,293.7055556
19,66,October,Albuquerque,18,410,652.596,1.74457299,290.9277778
19,67,October,Albuquerque,19,410,652.596,1.74457299,290.9277778
19,68,October,Albuquerque,20,410,0,1.34861606,286.4833333
19,69,October,Albuquerque,21,410,0,1.34861606,286.4833333
19,70,October,Albuquerque,22,410,0,1.34861606,286.4833333
19,71,October,Albuquerque,23,410,0,1.34861606,286.4833333
19,72,October,Albuquerque,24,410,0,1.34861606,286.4833333
