DOY,Month,Location,Time,Ca,Qin,VPD,Temp
106,August,Albuquerque,10,410,57.582,1.23976993,291.4833333
107,August,Albuquerque,11,410,57.582,1.23976993,291.4833333
108,August,Albuquerque,12,410,1708.266,5.988620264,308.7055556
109,August,Albuquerque,13,410,1708.266,5.988620264,308.7055556
110,August,Albuquerque,14,410,1708.266,5.988620264,308.7055556
111,August,Albuquerque,15,410,1708.266,5.988620264,308.7055556
112,August,Albuquerque,16,410,1708.266,5.988620264,308.7055556
113,August,Albuquerque,17,410,2399.25,9.745082037,314.8166667
114,August,Albuquerque,18,410,825.342,9.377175029,314.2611111
115,August,Albuquerque,19,410,614.208,9.228365767,313.7055556
116,August,Albuquerque,20,410,191.94,6.77451952,309.2611111
117,August,Albuquerque,21,410,0,6.033039034,307.5944444
118,August,Albuquerque,22,410,0,6.033039034,307.5944444
119,August,Albuquerque,23,410,0,3.582865294,301.4833333
120,August,Albuquerque,24,410,0,3.582865294,301.4833333
121,August,Albuquerque,1,410,0,2.96260068,299.8166667
122,August,Albuquerque,2,410,0,2.96260068,299.8166667
123,August,Albuquerque,3,410,0,2.96260068,299.8166667
124,August,Albuquerque,4,410,0,1.963962652,295.9277778
125,August,Albuquerque,5,410,0,1.963962652,295.9277778
126,August,Albuquerque,6,410,57.582,1.758226155,294.8166667
127,August,Albuquerque,7,410,57.582,1.758226155,294.8166667
128,August,Albuquerque,8,410,57.582,1.758226155,294.8166667
129,August,Albuquerque,9,410,95.97,1.667779831,293.7055556
130,August,Albuquerque,10,410,95.97,1.667779831,293.7055556
131,August,Albuquerque,11,410,95.97,1.667779831,293.7055556
132,August,Albuquerque,12,410,95.97,1.667779831,293.7055556
133,August,Albuquerque,13,410,95.97,1.667779831,293.7055556
134,August,Albuquerque,14,410,95.97,1.667779831,293.7055556
135,August,Albuquerque,15,410,2840.712,10.12742355,315.3722222
136,August,Albuquerque,16,410,2840.712,10.12742355,315.3722222
137,August,Albuquerque,17,410,1861.818,9.023157711,313.7055556
138,August,Albuquerque,18,410,1497.132,8.682505581,313.15
139,August,Albuquerque,19,410,1497.132,8.682505581,313.15
140,August,Albuquerque,20,410,76.776,7.283551871,310.9277778
141,August,Albuquerque,21,410,0,5.038211291,306.4833333
142,August,Albuquerque,22,410,0,4.934641448,306.4833333
143,August,Albuquerque,23,410,0,4.934641448,306.4833333
144,August,Albuquerque,24,410,0,4.934641448,306.4833333
145,October,Albuquerque,1,410,0,1.33715118,288.7055556
146,October,Albuquerque,2,410,0,1.33715118,288.7055556
147,October,Albuquerque,3,410,0,1.33715118,288.7055556
148,October,Albuquerque,4,410,0,0.938945596,285.3722222
149,October,Albuquerque,5,410,0,0.938945596,285.3722222
150,October,Albuquerque,6,410,0,0.938945596,285.3722222
151,October,Albuquerque,7,410,57.582,0.64617062,282.5944444
152,October,Albuquerque,8,410,57.582,0.64617062,282.5944444
153,October,Albuquerque,9,410,57.582,0.64617062,282.5944444
154,October,Albuquerque,10,410,57.582,0.64617062,282.5944444
155,October,Albuquerque,11,410,57.582,0.64617062,282.5944444
156,October,Albuquerque,12,410,1324.386,2.504665478,297.0388889
157,October,Albuquerque,13,410,1324.386,2.504665478,297.0388889
158,October,Albuquerque,14,410,1017.282,2.965069266,299.2611111
159,October,Albuquerque,15,410,2437.638,3.196510992,300.3722222
160,October,Albuquerque,16,410,1919.4,3.137445226,299.2611111
161,October,Albuquerque,17,410,1381.968,4.252987377,303.7055556
162,October,Albuquerque,18,410,1381.968,4.252987377,303.7055556
163,October,Albuquerque,19,410,95.97,2.909227845,299.2611111
164,October,Albuquerque,20,410,0,2.324278919,297.0388889
165,October,Albuquerque,21,410,0,2.324278919,297.0388889
166,October,Albuquerque,22,410,0,2.324278919,297.0388889
167,October,Albuquerque,23,410,0,2.324278919,297.0388889
168,October,Albuquerque,24,410,0,0.927846597,289.8166667
169,October,Albuquerque,1,410,0,0.927846597,289.8166667
170,October,Albuquerque,2,410,0,0.907727028,289.8166667
171,October,Albuquerque,3,410,0,0.725472663,287.5944444
172,October,Albuquerque,4,410,0,0.725472663,287.5944444
173,October,Albuquerque,5,410,0,0.734050378,287.0388889
174,October,Albuquerque,6,410,0,0.641712466,285.9277778
175,October,Albuquerque,7,410,0,0.597726305,285.9277778
176,October,Albuquerque,8,410,57.582,0.559748357,284.8166667
177,October,Albuquerque,9,410,76.776,0.635054301,285.3722222
178,October,Albuquerque,10,410,76.776,0.635054301,285.3722222
179,October,Albuquerque,11,410,882.924,1.276688055,292.5944444
180,October,Albuquerque,12,410,1209.222,1.752357844,295.3722222
181,October,Albuquerque,13,410,1209.222,1.752357844,295.3722222
182,October,Albuquerque,14,410,441.462,1.969094259,294.8166667
183,October,Albuquerque,15,410,441.462,1.969094259,294.8166667
184,October,Albuquerque,16,410,1823.43,1.758226155,294.8166667
185,October,Albuquerque,17,410,1132.446,2.194888273,297.0388889
186,October,Albuquerque,18,410,959.7,2.325316278,296.4833333
187,October,Albuquerque,19,410,95.97,2.118013633,294.8166667
188,October,Albuquerque,20,410,0,1.763716338,293.15
189,October,Albuquerque,21,410,0,1.295416547,290.3722222
190,October,Albuquerque,22,410,0,1.295416547,290.3722222
191,October,Albuquerque,23,410,0,1.064171642,287.5944444
192,October,Albuquerque,24,410,0,1.064171642,287.5944444
193,October,Albuquerque,1,410,0,1.283465018,287.5944444
194,October,Albuquerque,2,410,0,1.283465018,287.5944444
195,October,Albuquerque,3,410,0,1.283465018,287.5944444
196,October,Albuquerque,4,410,0,1.283465018,287.5944444
197,October,Albuquerque,5,410,0,1.283465018,287.5944444
198,October,Albuquerque,6,410,0,1.283465018,287.5944444
199,October,Albuquerque,7,410,57.582,1.044080284,286.4833333
200,October,Albuquerque,8,410,57.582,1.044080284,286.4833333
201,October,Albuquerque,9,410,57.582,0.905963166,284.8166667
202,October,Albuquerque,10,410,57.582,0.905963166,284.8166667
203,October,Albuquerque,11,410,307.104,1.216843594,287.0388889
204,October,Albuquerque,12,410,307.104,1.216843594,287.0388889
205,October,Albuquerque,13,410,1689.072,1.896975555,293.7055556
206,October,Albuquerque,14,410,1823.43,2.156362268,294.8166667
207,October,Albuquerque,15,410,1727.46,2.036235704,293.7055556
208,October,Albuquerque,16,410,1573.908,2.07206731,293.7055556
209,October,Albuquerque,17,410,1573.908,2.07206731,293.7055556
210,October,Albuquerque,18,410,652.596,1.74457299,290.9277778
211,October,Albuquerque,19,410,652.596,1.74457299,290.9277778
212,October,Albuquerque,20,410,0,1.34861606,286.4833333
213,October,Albuquerque,21,410,0,1.34861606,286.4833333
214,October,Albuquerque,22,410,0,1.34861606,286.4833333
215,October,Albuquerque,23,410,0,1.34861606,286.4833333
216,October,Albuquerque,24,410,0,1.34861606,286.4833333
,,,,,2840.712,,
